     INDEX             SIGMA               VAI              VFIT
       236      0.982141E-01      0.531820E+04      0.324015E+04
       237      0.500602E+00     -0.156219E+01     -0.153278E+01
       238      0.500204E+00     -0.530600E+00     -0.166987E+01
       239      0.500133E+00     -0.346159E+00     -0.166986E+01
       240      0.596102E+00     -0.209582E+03     -0.198735E+03
       241      0.806925E+00     -0.494472E+03     -0.408193E+03
       242      0.546404E+00     -0.110405E+03     -0.437646E+02
       243      0.500263E+00     -0.682414E+00     -0.167725E+01
       244      0.500166E+00     -0.432333E+00     -0.167000E+01
       245      0.502220E+00     -0.574580E+01     -0.251657E+01
       246      0.513326E+00     -0.337490E+02     -0.808385E+02
       247      0.500216E+00     -0.560079E+00     -0.166995E+01
       248      0.500920E+00     -0.238769E+01     -0.164214E+01
       249      0.500162E+00     -0.420319E+00     -0.166268E+01
       250      0.500016E+00     -0.418275E-01     -0.167065E+01
       251      0.500049E+00     -0.127600E+00     -0.166999E+01
       252      0.504009E+00     -0.103402E+02     -0.168998E+02
       253      0.501267E+00     -0.328530E+01     -0.113348E+01
       254      0.592062E-01      0.967858E+04      0.103357E+05
       255      0.500369E+00     -0.957810E+00     -0.166683E+01
       256      0.500229E+00     -0.594852E+00     -0.166990E+01
       257      0.499882E+00      0.305834E+00     -0.167046E+01
       258      0.219382E+00      0.166287E+04      0.146887E+04
       259      0.500061E+00     -0.158062E+00     -0.167018E+01
       260      0.502399E+00     -0.620643E+01     -0.877892E+01
       261      0.500250E+00     -0.648830E+00     -0.166950E+01
       262      0.500256E+00     -0.665075E+00     -0.166968E+01
       263      0.584162E+00     -0.187295E+03     -0.571098E+02
       264      0.344641E+00      0.586019E+03      0.442151E+03
       265      0.564900E+00     -0.149354E+03     -0.130326E+03
       266      0.498508E+00      0.389065E+01      0.481658E-01
       267      0.500317E+00     -0.822454E+00     -0.159145E+01
       268      0.498572E+00      0.372276E+01      0.331200E+01
       269      0.500177E+00     -0.458902E+00     -0.166988E+01
       270      0.486181E+00      0.369505E+02      0.274659E+02
       271      0.500669E+00     -0.173746E+01     -0.171585E+01
       272      0.500961E+00     -0.249333E+01     -0.799578E+00
       273      0.550234E+00     -0.118685E+03     -0.166086E+03
